Quarantana	Longman 1845	Penman 1972	Moore 2022
a stento	with difficulty	with difficulty	struggling
cavando fuori la parola	speaking	getting the words out	to get the words out
corse come poteva al buio	ran as well as she could in the darkness	hastened as best she could in the dark	raced as best she could in the dark
entrò in fretta	in haste	quickly	She dashed
in furia	in the greatest haste	making all the speed they could	as fast as they could
mettersi in salvo	to save themselves	into safety	to safety
eran venuti giù saltelloni	had come leaping down	had hurried down	they had come racing down in leaps and bounds
di dentro	from within	from inside	from the inside
un tocco e due e tre e seguita	one stroke two three and many following ones	one two three four five six seven	One stroke two three and then on and on
ne avessero avuto bisogno	had she been in need of such	they had needed one	they needed it
scoccò la campana	the bell tolled	the bell began to ring	the bells started tolling
di galoppo	to gallop	she dashed off	galloping
prese la rincorsa	she set off running	breaking into a run	She started running
mettersi in libertà	liberate herself	to free herself	to free herself
Diavolo d' una donna	Fiend of a woman	Blast the woman	You devil
